Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.11543E-4,91.541060447,0.810927894,0.032382421,0.931623932,0
9.13895E-4,91.814930334,0.811738451,0.031225906,0.931623932,0
9.16262E-4,92.089483701,0.812550958,0.030069391,0.931623932,0
9.18908E-4,92.273060005,0.813455366,0.029298381,0.931623932,0
9.2231E-4,92.549101026,0.814611357,0.028141866,0.931623932,0
9.25741E-4,92.826371576,0.815769756,0.026985351,0.931623932,0
9.32848E-4,93.012272727,0.818147035,0.026214341,0.931623932,0
9.3437E-4,93.292394199,0.818651982,0.025057826,0.931623932,0
9.41334E-4,93.5737669,0.820944902,0.023901311,0.94017094,0
9.42605E-4,93.762221701,0.821360352,0.023130301,0.94017094,0
9.48564E-4,94.046199458,0.823294797,0.021973786,0.94017094,0
9.55305E-4,94.331866519,0.825458283,0.020817271,0.94017094,0
9.58219E-4,94.523269414,0.826384917,0.020046261,0.94017094,0
9.61275E-4,94.81136527,0.827351807,0.018889746,0.948717949,0
9.68426E-4,95.00442118,0.829592952,0.018118736,0.957264957,0
9.75308E-4,95.296847856,0.831722678,0.016962221,0.965811966,0
9.8058E-4,95.590297685,0.833335752,0.015805705,0.965811966,0
9.8526E-4,95.787063526,0.834755006,0.015034695,0.965811966,0
1.00105E-3,96.085325923,0.839454803,0.01387818,0.965811966,0
1.00434E-3,96.286046175,0.840416477,0.01310717,0.974358974,0
